genus	FT	CT	BT	FW	CW	BW
Roseobacter_clade_CHAB-I-5_lineage	1.5	0	0	0.833333333	0	0
IS-44	0	0	0	2.333333333	0	0
Methyloversatilis	2.333333333	0	0	0	0	0
Halarcobacter	1.666666667	0.5	0	0	0	0
Gemella	2.166666667	0	0	0	0	0
Romboutsia	0.666666667	0.333333333	0	0.333333333	0.833333333	0
Nitrospira	0	0.666666667	0	1.5	0	0
norank_c__028H05-P-BN-P5	2	0	0	0.166666667	0	0
unclassified_o__Micavibrionales	2.166666667	0	0	0	0	0
Candidatus_Megaira	0.5	0.833333333	0	0	0.833333333	0
Pelomonas	2.166666667	0	0	0	0	0
Oleispira	2.166666667	0	0	0	0	0
Leucothrix	0	1.666666667	0.333333333	0	0.166666667	0
Cyclobacterium	1.166666667	0	0.833333333	0	0	0
Zeaxanthinibacter	0	1.5	0.333333333	0	0	0.166666667
Rubricoccus	0	1.166666667	0	0.833333333	0	0
norank_c__BD2-11_terrestrial_group	0.166666667	1.666666667	0	0.166666667	0	0
norank_c__bacteriap25	2	0	0	0	0	0
norank_o__Candidatus_Kuenenbacteria	0	0	0	2	0	0
norank_o__Caulobacterales	1.666666667	0.333333333	0	0	0	0
Tepidicaulis	0	2	0	0	0	0
norank_f__Hyphomicrobiaceae	0	0.666666667	0	1.333333333	0	0
norank_c__Alphaproteobacteria	0	0.833333333	0	0.833333333	0.333333333	0
Aestuariicella	2	0	0	0	0	0
unclassified_f__Simkaniaceae	0	0	0	2	0	0
Modestobacter	1.833333333	0	0	0	0	0
Rubrobacter	0	0	0	1.833333333	0	0
norank_f__Amoebophilaceae	0	0	0	1.5	0.333333333	0
Lishizhenia	1.833333333	0	0	0	0	0
norank_o__AT-s3-44	0	0	0	1.833333333	0	0
Hyphomicrobium	0	0.333333333	0	0.333333333	1.166666667	0
unclassified_f__Burkholderiaceae	0	1	0	0.833333333	0	0
unclassified_f__Legionellaceae	0	0	0	1.833333333	0	0
norank_o__Xanthomonadales	0	1.333333333	0.5	0	0	0
norank_f__Criblamydiaceae	0	0.666666667	0	1.166666667	0	0
unclassified_o__Chitinophagales	0	1.666666667	0	0	0	0
norank_f__Oscillospiraceae	1.666666667	0	0	0	0	0
unclassified_o__Alphaproteobacteria_Incertae_Sedis	0	0.833333333	0.833333333	0	0	0
unclassified_f__Parvularculaceae	0	1.166666667	0	0.5	0	0
norank_f__Magnetospiraceae	0	0	0	1.666666667	0	0
norank_o__EC3	0	0	0	0.5	1.166666667	0
Enterovibrio	1.666666667	0	0	0	0	0
Rothia	1.5	0	0	0	0	0
Portibacter	0.5	1	0	0	0	0
norank_f__Crocinitomicaceae	0	0	0	1.5	0	0
Aureisphaera	0	1.166666667	0	0	0.333333333	0
Salinimicrobium	0	0	0	1.5	0	0
Sphingobacterium	1.5	0	0	0	0	0
Urania-1B-19_marine_sediment_group	0	0	0	1.5	0	0
Acuticoccus	0	0.833333333	0.666666667	0	0	0
Catenovulum	1.166666667	0.333333333	0	0	0	0
unclassified_f__Moraxellaceae	0	0	0	0	1.5	0
unclassified_f__Parachlamydiaceae	0	1.5	0	0	0	0
SCGC_AAA164-E04	0	0	0	1.5	0	0
Dietzia	0.833333333	0.5	0	0	0	0
unclassified_f__Chitinophagaceae	0	0	1.333333333	0	0	0
unclassified_f__Bacteriovoracaceae	0	0	0	1.333333333	0	0
norank_c__JG30-KF-CM66	0	1.166666667	0	0.166666667	0	0
unclassified_f__Cyanobiaceae	0	0.333333333	0	0	1	0
Clostridium_sensu_stricto_1	0	0.833333333	0	0	0.5	0
Veillonella	1.333333333	0	0	0	0	0
norank_f__Sandaracinaceae	1.333333333	0	0	0	0	0
Hyphococcus	1.333333333	0	0	0	0	0
Marinicaulis	0	0.5	0	0.833333333	0	0
norank_o__Puniceispirillales	0	0	0	1.333333333	0	0
norank_f__Rhizobiales_Incertae_Sedis	0	0	0	1.333333333	0	0
norank_f__Colwelliaceae	1.333333333	0	0	0	0	0
Endozoicomonas	0.666666667	0.333333333	0	0.333333333	0	0
Brevibacterium	1.166666667	0	0	0	0	0
unclassified_f__Micrococcaceae	0.666666667	0	0	0	0.5	0
Dyadobacter	0	0	0	0	1.166666667	0
Persicitalea	0	0.333333333	0	0	0.833333333	0
Empedobacter	1.166666667	0	0	0	0	0
norank_f__Nannocystaceae	0	1.166666667	0	0	0	0
Phenylobacterium	1	0.166666667	0	0	0	0
norank_f__PS1_clade	0.166666667	0.333333333	0	0	0.666666667	0
Methyloceanibacter	0	0.666666667	0	0.5	0	0
Pseudochrobactrum	1.166666667	0	0	0	0	0
Anderseniella	0	0.333333333	0	0.833333333	0	0
norank_f__SM2D12	0	0	0	1.166666667	0	0
Castellaniella	1.166666667	0	0	0	0	0
unclassified_f__Nitrosomonadaceae	0	1.166666667	0	0	0	0
Marinimicrobium	0	0.833333333	0	0.333333333	0	0
Litorivivens	1.166666667	0	0	0	0	0
Rickettsiella	0	0	0	1.166666667	0	0
Saccharospirillum	1.166666667	0	0	0	0	0
norank_p__SAR324_cladeMarine_group_B	0	0.333333333	0	0.833333333	0	0
Prosthecobacter	1.166666667	0	0	0	0	0
Gordonia	1	0	0	0	0	0
Blastococcus	0	0	0	1	0	0
norank_f__67-14	0.5	0	0	0.5	0	0
Actibacter	0	1	0	0	0	0
norank_f__Babeliaceae	0	0	0	1	0	0
unclassified_o__Bacillales	0	0	0	0.333333333	0.666666667	0
Aerococcus	0	0	0	0	1	0
Lactococcus	1	0	0	0	0	0
Caminicella	1	0	0	0	0	0
norank_o__GWA2-38-13b	0	0	0	1	0	0
unclassified_f__Devosiaceae	0	0	1	0	0	0
Oricola	0	0	0	1	0	0
Rubellimicrobium	1	0	0	0	0	0
norank_o__Rickettsiales	0	0	0	1	0	0
Sphingorhabdus	0	0	0	0.5	0.5	0
Chromohalobacter	0	0	0	1	0	0
Rhodococcus	0.833333333	0	0	0	0	0
Porphyromonas	0.833333333	0	0	0	0	0
Fulvivirga	0	0.333333333	0	0	0	0.5
Calorithrix	0	0.5	0	0	0.333333333	0
norank_c__KD4-96	0	0.833333333	0	0	0	0
Candidatus_Entotheonella	0	0.333333333	0	0.5	0	0
Fictibacillus	0	0	0	0.5	0.333333333	0
norank_f__Hydrogenedensaceae	0	0	0	0.833333333	0	0
P3OB-42	0	0.5	0	0.333333333	0	0
norank_p__NB1-j	0	0.833333333	0	0	0	0
Nitrospina	0	0	0	0.833333333	0	0
norank_f__LWQ8	0	0	0	0.833333333	0	0
norank_f__Rubinisphaeraceae	0	0	0	0.833333333	0	0
Rhodobacter	0.833333333	0	0	0	0	0
OM75_clade	0	0	0	0.833333333	0	0
Haliea	0	0	0	0.833333333	0	0
unclassified_o__Enterobacterales	0	0.833333333	0	0	0	0
Oceaniserpentilla	0.833333333	0	0	0	0	0
Moraxella	0.833333333	0	0	0	0	0
Candidatus_Protochlamydia	0	0.833333333	0	0	0	0
FukuN18_freshwater_group	0	0	0	0.833333333	0	0
unclassified_p__Verrucomicrobiota	0	0	0	0.833333333	0	0
norank_o__PAUC26f	0	0.666666667	0	0	0	0
norank_o__Actinomarinales	0	0.666666667	0	0	0	0
Bifidobacterium	0.5	0.166666667	0	0	0	0
norank_o__Frankiales	0.666666667	0	0	0	0	0
Ekhidna	0	0.666666667	0	0	0	0
Leeuwenhoekiella	0	0	0	0	0.666666667	0
Subsaxibacter	0.666666667	0	0	0	0	0
norank_f__NS7_marine_group	0	0.666666667	0	0	0	0
unclassified_f__Rhodothermaceae	0	0.666666667	0	0	0	0
Campylobacter	0.666666667	0	0	0	0	0
unclassified_f__A4b	0	0	0	0	0.666666667	0
norank_o__Gastranaerophilales	0	0	0	0.666666667	0	0
unclassified_c__Desulfuromonadia	0	0.666666667	0	0	0	0
norank_p__Desulfobacterota	0	0.166666667	0	0.5	0	0
Marinococcus	0	0	0	0.5	0.166666667	0
unclassified_o__Lactobacillales	0.666666667	0	0	0	0	0
norank_c__Kazania	0	0	0	0.666666667	0	0
norank_f__Kiloniellaceae	0	0.666666667	0	0	0	0
Oceaniovalibus	0	0.333333333	0	0	0.333333333	0
Planktomarina	0.666666667	0	0	0	0	0
Pseudoroseicyclus	0.666666667	0	0	0	0	0
Roseicyclus	0	0	0	0	0.666666667	0
unclassified_o__Rickettsiales	0	0	0	0.666666667	0	0
Stakelama	0.666666667	0	0	0	0	0
Geminicoccus	0	0.333333333	0	0	0.333333333	0
Polynucleobacter	0.666666667	0	0	0	0	0
Hydrogenophaga	0	0.666666667	0	0	0	0
Dasania	0.666666667	0	0	0	0	0
norank_f__Methylophagaceae	0	0	0	0.666666667	0	0
norank_o__SS1-B-04-55	0	0	0	0.666666667	0	0
norank_o__pItb-vmat-80	0	0.666666667	0	0	0	0
unclassified_f__Chlamydiaceae	0	0.333333333	0	0.333333333	0	0
unclassified_c__Acidimicrobiia	0	0.5	0	0	0	0
norank_f__Propionibacteriaceae	0	0	0	0.5	0	0
unclassified_c__Actinobacteria	0	0	0	0.5	0	0
Prevotella	0.5	0	0	0	0	0
Aquimarina	0	0	0	0.5	0	0
Lutimonas	0	0.5	0	0	0	0
Robiginitalea	0	0.5	0	0	0	0
Pelolinea	0.5	0	0	0	0	0
norank_f__Anaerolineaceae	0	0	0	0.5	0	0
norank_f__Caldilineaceae	0	0.5	0	0	0	0
norank_o__SBR1031	0	0	0	0	0.5	0
Salinicoccus	0.5	0	0	0	0	0
A2	0	0	0	0.5	0	0
norank_c__PAUC43f_marine_benthic_group	0	0	0	0.5	0	0
norank_o__Absconditabacteriales_SR1	0	0.5	0	0	0	0
norank_f__Gemmataceae	0	0.5	0	0	0	0
norank_o__Planctomycetales	0	0	0	0.5	0	0
unclassified_p__Planctomycetota	0	0.166666667	0.333333333	0	0	0
Kordiimonas	0	0.5	0	0	0	0
Ensifer	0	0	0	0	0.5	0
Amorphus	0	0	0	0.5	0	0
Confluentimicrobium	0	0.333333333	0	0.166666667	0	0
Leisingera	0	0	0.5	0	0	0
Aestuariispira	0.333333333	0.166666667	0	0	0	0
norank_f__Geminicoccaceae	0	0.5	0	0	0	0
KCM-B-112	0	0	0	0.5	0	0
Arenicella	0	0.333333333	0	0.166666667	0	0
Ketobacter	0	0.5	0	0	0	0
Oceanobacter	0.5	0	0	0	0	0
Candidatus_Endoecteinascidia	0	0	0	0	0.5	0
norank_o__Acidobacteriales	0	0	0	0	0	0.333333333
Bryobacter	0	0	0	0.333333333	0	0
Subgroup_10	0	0.333333333	0	0	0	0
norank_o__Subgroup_17	0	0.333333333	0	0	0	0
unclassified_p__Acidobacteriota	0	0.333333333	0	0	0	0
hgcI_clade	0	0	0	0.333333333	0	0
Kytococcus	0	0	0	0.333333333	0	0
Agromyces	0.333333333	0	0	0	0	0
Aeromicrobium	0	0	0	0.333333333	0	0
Nocardiopsis	0.333333333	0	0	0	0	0
norank_f__Bacteroidetes_vadinHA17	0.333333333	0	0	0	0	0
Aureimarina	0.333333333	0	0	0	0	0
Aureitalea	0	0.333333333	0	0	0	0
Maritimimonas	0	0.333333333	0	0	0	0
Tamlana	0	0	0	0	0.333333333	0
Xanthomarina	0	0	0.333333333	0	0	0
IheB3-7	0	0	0	0.333333333	0	0
B2706-C7	0.333333333	0	0	0	0	0
unclassified_p__Bacteroidota	0	0	0	0	0.333333333	0
norank_o__053A03-B-DI-P58	0	0	0	0.333333333	0	0
norank_f__JG30-KF-CM45	0	0	0	0.333333333	0	0
norank_o__S085	0	0	0	0	0.333333333	0
unclassified_o__Vampirovibrionales	0.333333333	0	0	0	0	0
Desulfobacterium_catecholicum_group	0	0	0	0.333333333	0	0
Solibacillus	0	0.333333333	0	0	0	0
Desemzia	0	0	0	0.333333333	0	0
Enterococcus	0	0	0	0.333333333	0	0
Paenibacillus	0	0	0	0	0.333333333	0
Clostridium_sensu_stricto_11	0	0	0	0.333333333	0	0
Clostridium_sensu_stricto_13	0	0	0	0.333333333	0	0
Terrisporobacter	0	0	0	0.333333333	0	0
Anaerococcus	0.333333333	0	0	0	0	0
norank_f__BIrii41	0	0.333333333	0	0	0	0
norank_o__Candidatus_Roizmanbacteria	0	0	0	0.333333333	0	0
TM7a	0	0	0	0.333333333	0	0
unclassified_o__Saccharimonadales	0	0	0	0	0.333333333	0
norank_c__Pla3_lineage	0	0.333333333	0	0	0	0
norank_f__Gimesiaceae	0	0	0	0.333333333	0	0
Hirschia	0	0	0	0.333333333	0	0
Sagittula	0	0	0	0.333333333	0	0
unclassified_f__norank_o__Rickettsiales	0	0	0	0.333333333	0	0
norank_f__Sphingomonadaceae	0	0.333333333	0	0	0	0
Oceanimonas	0	0	0	0	0.333333333	0
Neiella	0.333333333	0	0	0	0	0
norank_o__B2M28	0	0	0	0	0.333333333	0
Burkholderia-Caballeronia-Paraburkholderia	0	0	0	0	0.333333333	0
Ramlibacter	0	0	0	0.333333333	0	0
BD1-7_clade	0	0.333333333	0	0	0	0
norank_f__Spongiibacteraceae	0	0.333333333	0	0	0	0
Francisella	0	0.333333333	0	0	0	0
norank_f__Immundisolibacteraceae	0	0	0	0.333333333	0	0
norank_o__MBAE14	0.333333333	0	0	0	0	0
FS142-36B-02	0	0.333333333	0	0	0	0
Actinobacillus	0.333333333	0	0	0	0	0
unclassified_f__Rhodanobacteraceae	0	0.333333333	0	0	0	0
Pseudoxanthomonas	0	0.333333333	0	0	0	0
Waddlia	0	0	0	0.333333333	0	0
unclassified_o__Omnitrophales	0	0	0	0.333333333	0	0
norank_f__01D2Z36	0	0.333333333	0	0	0	0
Cerasicoccus	0	0	0	0.333333333	0	0
Pelagicoccus	0	0.333333333	0	0	0	0
Luteolibacter	0	0	0	0.333333333	0	0
Blastocatella	0	0	0	0.166666667	0	0
unclassified_f__Blastocatellaceae	0	0	0	0.166666667	0	0
norank_c__Subgroup_22	0	0.166666667	0	0	0	0
unclassified_o__Microtrichales	0	0.166666667	0	0	0	0
Branchiibius	0	0	0	0.166666667	0	0
Sinomonas	0	0	0	0.166666667	0	0
Marmoricola	0	0	0	0.166666667	0	0
unclassified_p__Actinobacteriota	0	0.166666667	0	0	0	0
norank_f__Barnesiellaceae	0.166666667	0	0	0	0	0
Odoribacter	0	0	0	0.166666667	0	0
Marinoscillum	0	0	0	0.166666667	0	0
Aequorivita	0	0	0.166666667	0	0	0
unclassified_o__Sphingobacteriales	0	0	0.166666667	0	0	0
Silvanigrella	0	0	0	0	0.166666667	0
unclassified_p__Bdellovibrionota	0	0	0	0.166666667	0	0
Sulfurovum	0	0	0	0.166666667	0	0
norank_f__A4b	0	0	0	0.166666667	0	0
unclassified_c__Anaerolineae	0	0.166666667	0	0	0	0
norank_o__SAR202_clade	0	0	0	0.166666667	0	0
unclassified_f__Desulfosarcinaceae	0	0	0	0.166666667	0	0
norank_f__Desulfocapsaceae	0.166666667	0	0	0	0	0
Desulfovibrio	0.166666667	0	0	0	0	0
Planifilum	0	0	0	0	0.166666667	0
Risungbinella	0	0	0.166666667	0	0	0
Fusibacter	0	0	0	0.166666667	0	0
Intestinibacter	0	0	0	0.166666667	0	0
HN-HF0106	0	0	0	0.166666667	0	0
norank_p__MBNT15	0.166666667	0	0	0	0	0
norank_p__Margulisbacteria	0	0	0	0.166666667	0	0
norank_c__Berkelbacteria	0	0	0	0.166666667	0	0
norank_c__Dojkabacteria	0	0	0	0.166666667	0	0
norank_o__Candidatus_Abawacabacteria	0	0	0	0.166666667	0	0
norank_o__Candidatus_Vogelbacteria	0	0	0	0.166666667	0	0
norank_f__Phycisphaeraceae	0	0	0	0.166666667	0	0
Kiloniella	0	0.166666667	0	0	0	0
norank_o__Parvibaculales	0	0.166666667	0	0	0	0
Constrictibacter	0	0.166666667	0	0	0	0
Nisaea	0	0.166666667	0	0	0	0
unclassified_f__Colwelliaceae	0	0.166666667	0	0	0	0
unclassified_f__Rhodocyclaceae	0	0.166666667	0	0	0	0
Halioglobus	0	0.166666667	0	0	0	0
norank_o__Granulosicoccales	0	0.166666667	0	0	0	0
Fontimonas	0	0.166666667	0	0	0	0
unclassified_o__Xanthomonadales	0	0.166666667	0	0	0	0
