genus	FT	CT	BT	FW	CW	BW
norank_o__Candidatus_Campbellbacteria	2.166666667	0	0	114.6666667	2.333333333	0
Marinobacter	50.16666667	55.83333333	1.166666667	5.5	3.333333333	0.5
norank_f__Cryomorphaceae	9.666666667	98.16666667	2.166666667	0	3	0
Thalassobius	34.33333333	4.666666667	2.833333333	0.5	25.83333333	44.33333333
Sva0996_marine_group	4	9.666666667	0.5	87.5	8.333333333	0
Hyphomonas	0	19.33333333	3.5	4.166666667	74.66666667	6
Polaribacter	81	25.16666667	0	0.333333333	0	0
Roseovarius	3.166666667	39.33333333	19.33333333	1.333333333	37.83333333	3.666666667
Planococcus	8	0	0	67.33333333	26	0
Zhongshania	7.5	90.5	2	0	0	0
Nitratireductor	25.66666667	17.16666667	18.16666667	2	30.66666667	5.666666667
norank_f__Legionellaceae	0	1	0.333333333	33.83333333	60.66666667	2.833333333
Algicola	92.16666667	1.666666667	1.166666667	0	1.333333333	0
norank_f__Rhizobiaceae	0	68.83333333	0	0.666666667	22.83333333	1.666666667
Psychrosphaera	93.33333333	0.5	0	0	0	0
Owenweeksia	2.166666667	11.66666667	73.83333333	0	0.333333333	2.666666667
NS3a_marine_group	0.833333333	18.66666667	0.333333333	0	56.66666667	12.66666667
Clade_Ia	0.166666667	0	0	84.16666667	3	0
norank_o__JGI_0000069-P22	87	0	0	0	0	0
Salinisphaera	1.333333333	57	0	24.33333333	1	0
Corynebacterium	83	0.333333333	0	0	0	0
Tropicibacter	8	58.83333333	5.666666667	0	9.666666667	1.166666667
Pseudofulvibacter	37.83333333	25.5	16.16666667	0	0.666666667	0.833333333
Ponticoccus	52.83333333	15.16666667	0	0	11.16666667	0
Candidatus_Aquiluna	0	0	0	74.66666667	3	0.5
Porticoccus	0.666666667	1	0.166666667	72.83333333	2	0
Corallomonas	72.5	3	0	0	0	0
Phaeodactylibacter	0.5	6.833333333	0	0.333333333	51.83333333	15.16666667
Aquibacter	9	45	14.66666667	1	3	0
Psychrobium	72.33333333	0	0	0	0	0
NS10_marine_group	72.16666667	0	0	0	0	0
Terasakiella	70.33333333	0	0	0	0.666666667	0
Marine_Methylotrophic_Group_3	66.33333333	0	0	3.5	0	0
unclassified_f__Rhizobiaceae	9.833333333	32.33333333	8	3.833333333	13.66666667	2
Echinicola	3.166666667	6.833333333	33.5	0	2.833333333	22.66666667
Achromobacter	0	0	0	52	16	0
norank_o__Gaiellales	0	0.833333333	0	65.66666667	1.166666667	0
Altererythrobacter	15.16666667	1.5	0.833333333	27.66666667	19.66666667	0
Roseivirga	36.33333333	25	1.333333333	0	1.333333333	0
Oceanococcus	14.66666667	45.16666667	0.5	3.333333333	0	0
Meridianimaribacter	4	12.33333333	17.16666667	0	29.16666667	0
Thalassolituus	60.33333333	1	0	0	0	0
Maribacter	0	1.833333333	3.166666667	1	48.16666667	6.833333333
norank_o__PB19	4.5	46.66666667	8	1.5	0	0
norank_f__Hyphomonadaceae	1	34.66666667	1.333333333	1.166666667	20.83333333	0
Dokdonia	1	8.333333333	0.333333333	0	43.83333333	3.333333333
Anoxybacillus	56.66666667	0	0	0	0	0
unclassified_c__Alphaproteobacteria	1.333333333	27.16666667	2.166666667	10.83333333	12.33333333	0.833333333
